,I,Drawdown ID,,Dealership Name,Loan Status,Assigned SO,Assigned Sales Manager,,Credit Date to Dealer Bank Account ,Year Model,Make Model Variant,Plate Number (as on ORCR),Financing Type,Financier,Disbursal Date,Fair Market Value (FMV),Loan to Value (LTV) Ratio,Original Principal,Total Outstanding Principal,Outstanding Principal,New Credit Status,Max Closed DPD,Status Reason,ORCR Verification,R1 Due Date,R1 Status,R1 Payment Status,R2 Due Date,R2 Status,R2 Payment Status,Maturity Due Date,Maturity Status,Maturity Status,Loan Aging,R1 DPD Bucket,R2 DPD Bucket,Maturity DPD Bucket,In DPD?,DPD Aging,Require PDC?,PDC Amount,PDC Date,PDC Recieved?,Repossessed Unit?,Repo Date,Repo Status,Sold Repo Date,Latest Actual Inspection Date,Latest Actual Inspection Status,Latest Passed Remark,Latest Geotagged Photo,Link to Drawdown Documents,# of Inspections,# of Passed Inspections,# of Failed Inspections,Sold Flagging,Frequency,Type of Payment,Actual Payment Made,First Outstanding Stage,Last Outstanding Stage,Failure Status,,Netbank Disbursal Date,Netbank Aging,For Litigation?,ORCR Verification Date,Duplicate Found?,Duplicate Recorded Date,Transferred?,Transfer Date,LTO Special File Endorsement Date,LTO Special File Completion Date,LTO Title Transfer Endorsement Date,LTO Title Transfer Completion Date,Status
,,QAA0,,QRA AUTOSALE AND AUTOWORKS ENTERPRISES CORP.,Closed,Jerome Cacayan,Albert Dalupang,,2-May-2024,2012,MITSUBISHI MONTERO SPT GLS,UCI 342,Inventory Financing,Netbank,45414,564333.33,0.4961606645,280000,0,0,,25,,,45443,Renewed,On Time,,Not Applicable,,45474,Paid in Full,Late,92,,,,,30,,,,,,,,,,No Entry Yet,,,2012 Mitsubishi Montero Spt GLS,0,0,0,,1,,,,,,,45412
,,DGH0,,DON/GIE 2ND HAND CAR TRADING,Closed,Marlon Llamas,Albert Dalupang,,7-May-2024,2015,TOYOTA INNOVA,AJA 1469,Inventory Financing,Netbank,45419,661000,0.6051437216,400000,0,0,,,,,45448,Not Renewed,,,Not Applicable,,45478,Paid in Full,Early,7,,,,,,,,,,,,,,,No Entry Yet,,,2015 Toyota Innova SUV 2.5 E,0,0,0,,1,,,,,,,45418
,,GAT0,,GARAGE888 AUTO TRADING,Closed,Marlon Llamas,Albert Dalupang,,24-May-2024,2016,TOYOTA YARIS E,NCG 1993,Inventory Financing,Netbank,45436,482800,0.6213753107,300000,0,0,,,,,45465,Not Renewed,,,Not Applicable,,45495,Paid in Full,Early,29,,,,,,,,,,,,,,,No Entry Yet,,,2016_TOYOTA_YARIS_E_NCG1993,0,0,0,,1,,,,,,,45436
,,CRO0,,CROSSROAD 77,Closed,Rose Batacan,Malou Alfonso,,28-May-2024,2019,NISSAN TERRA EL M,LAF8495,Inventory Financing,Netbank,45440,727000,0.4126547455,300000,0,0,,,,,45469,Not Renewed,,,Not Applicable,,45502,Paid in Full,Early,6,,,,,,,,,,,,,,,No Entry Yet,,,CRO1_2019_NISSAN_TERRA_EL_M_LAF8495,0,0,0,,1,,,,,,,45440
,,LCT0,,LUCKY 323 CAR TRADING,Closed,Marlon Llamas,Albert Dalupang,,30-May-2024,2016,VOLKSWAGEN JETTA TDI A,NCZ4336,Inventory Financing,Netbank,45442,498857.14,0.4009163826,200000,0,0,,,,,45471,Not Renewed,,,Not Applicable,,45502,Paid in Full,Early,28,,,,,,,,,,,,,,,No Entry Yet,,,2016 VOLKSWAGEN JETTA TDI A NCZ4336,0,0,0,,1,,,,,,,45441
,,PKT0,,PARE KOTSE CAR TRADING,Closed,Elvira Ladea,Marah Luriely A. Villaruz,,31-May-2024,2014,TOYOTA FORTUNER 4X2,AAJ4865,Inventory Financing,Netbank,45443,806095.24,0.6202741006,500000,0,0,,,,,45472,Not Renewed,,,Not Applicable,,45503,Paid in Full,Early,26,,,,,,,,,,,,,,,No Entry Yet,,,2014 TOYOTA FORTUNER 4X2_AAJ4865,0,0,0,,2,,,,,,,45443
,,VAS0,,VERSATILE AUTO SALES,Closed,Marlon Llamas,Albert Dalupang,,4-Jun-2024,2021,TOYOTA AVANZA E MT,NEL5453,Inventory Financing,Netbank,45447,708667,0.7055499974,500000,0,0,,,,,45476,Not Renewed,,,Not Applicable,,45506,Paid in Full,Early,28,,,,,,,,,,,,,,,No Entry Yet,,,2021 TOYOTA AVANZA E MT_NEL5453,0,0,0,,1,,,,,,,45446
,,ARR0,,ARRONDAVIS AUTO TRADING,Closed,Rose Batacan,Malou Alfonso,,24-Jun-2024,2020,TOYOTA VIOS XLE CV,NAN6739,Inventory Financing,Netbank,45467,611087.9,0.6545703163,400000,0,0,,,,,45496,Not Renewed,,,Not Applicable,,45527,Paid in Full,Early,9,,,,,,,,,,,,,,,No Entry Yet,,,2020 TOYOTA VIOS XLE CV_NAN6739,0,0,0,,1,,,,,,,45467
,,KEER0,,KEER GARAGE1 VEHICLE MAINTENANCE SERVICES,Closed,Rhoyland Alagon,Marah Luriely A. Villaruz,,28-Jun-2024,2010,SUBARU FORESTER A,NOT120,Inventory Financing,Netbank,45471,396250,0.2902208202,115000,0,0,,,,,45500,Not Renewed,,,Not Applicable,,45530,Paid in Full,Early,25,,,,,,,,,,,,,,,No Entry Yet,,,2010 SUBARU FORESTER A_NOT120,0,0,0,,1,,,,,,,45470
,,PMB0,,PMB CAR EXCHANGE,Closed,Myrnalyn Bankingkito,Malou Alfonso,,3-Jul-2024,2017,FORD EVEREST TREND 2,130107/NAV6738,Inventory Financing,Netbank,45476,888818.09,0.4950394293,440000,0,0,,,,,45505,Not Renewed,,,Not Applicable,,45537,Paid in Full,Early,30,,,,,,,,,,,,,,,No Entry Yet,,,2017 FORD EVEREST TREND 2_130107/NAV6738,0,0,0,,1,,,,,,,45475
