Dealer ID,GCD Code,Assigned Sales Officer,Assigned Sales Manager,Dealership Name,Original Onboarding Date,Original Approved Credit Limit (in PHP),Original Approved Drawing Limit (in PHP),"Current Approved 
Credit Limit",Current Approved Drawing Power,Total Outstanding Amount,Total Available Credit Limit,Total Available Drawing Power,Lifetime TXN's,No. of open Loans,Netbank,Credit Line Status,Reason for CL Hold Status,Netbank - Approved Credit Limit,Netbank - Approved Drawing Power,Netbank - Outstanding Principal,Netbank - Available Credit Limit,Netbank - Available Drawing Power,Finsso,Credit Line Status,Reason for CL Hold Status,Finsso - Approved Credit Limit,Finsso - Approved Drawing Power,Finsso - Outstanding Principal,Finsso - Available Credit Limit,Finsso - Available Drawing Power,L3M Average Repayment Delay,% Utilization ,% Repayment,% Repayment Efficiency,80% LTV Qualified?,Qualified for Automatic CL Increase,"Date 
of Next 
CL Increase","Amount 
of Next 
CL/DP Increase","Remaining 
CL/DP
after Increase",Total Paid Renewal 1 in the last 90 days,Total Paid Renewal 2 in the last 90 days,Total Maturity Payments Made in the last 90 days,Total Payments made in the last 90 days,Total Repayments due in the last 90 days,First TXN,Last TXN,Pending Remittance w/ Netbank,Outstanding Netbank Booking,Credit Line Status,Reason for Hold / Blacklisting,Date of Blacklisting,Reassessement Date,December 2025 Blacklist,% Repayment (L3M),Effective Risk Pricing,Same Group,Onboarded Month,L6M Average Repayment Delay,Netbank Credit Line ID,Finsso Credit Line ID,Onboarding (Regular / Express),Total Number of CL Increase (Lifetime),Total Number of Automatic CL Increase (Lifetime),Credit Line Expiry Date,Credit Line Expiry Date,"(for Onboarded Masterlist)
Original Credit Line issuance Date","(for Onboarded Masterlist)
Original CLA Signed Date",Available CL w/ Netbank
IF0011,GCD1728,Marlon Llamas,Albert Dalupang,DAVE AND MELODY VEHICLE TRADING (Formerly as D.M Cars),45404,480000,480000,2430000,2430000,3473000,-1043000,-1043000,1,5,Yes,Hold,Maturity DPD,2430000,2430000,3473000,-1043000,-1043000,Yes,Open,,2430000,2430000,0,2430000,2430000,19,0.3053497942,0,0,No,No,46359,3645000,,0,0,0,0,4,45406,45406,0,3473000,Open,,,,,0,0.0175,,Apr'24,79.5,IF0011-NB,IF0011-FFC,Regular Onboarding,4,4,46632,,45401,45404,-1043000
IF0012,,Zhesa Resurrecion,Albert Dalupang,GCE VEHICLE TRADING (Formerly: LINIS SIKAT CARWASH & ACCESSORIES),45408,480000,480000,1500000,1000000,2000000,-500000,-1000000,1,2,Yes,Blacklisted,Done Re-assessement,1500000,1000000,1000000,500000,0,Yes,Hold,Done Re-assessement,1500000,1000000,1000000,500000,0,20.38541667,1,0,0,No,No,46312,2250000,,0,0,0,0,3,45412,46223.61458,0,1000000,Open,,,46132.58958,,0,0.02,,Apr'24,64.84635417,IF0012-NB,IF0012-FFC,Regular Onboarding,5,6,46584,,45773,45408,500000
IF0013,GCD3942,Marlon Llamas,Albert Dalupang,DON/GIE 2ND HAND CAR TRADING,45411,640000,400000,1000000,1000000,2127000,-1127000,-1127000,1,8,Yes,Hold,Maturity DPD,1000000,1000000,2127000,-1127000,-1127000,Yes,Open,,1000000,1000000,0,1000000,1000000,17,0.462,0,0,No,No,46083,1500000,,0,0,0,0,8,45419,46212,0,2127000,Open,,,,,0,0.0175,,Apr'24,79.28571429,IF0013-NB,IF0013-FFC,Regular Onboarding,,,46357,Soon Expiry,45408,45411,-1127000
IF0014,GCD1898,Jerome Cacayan,Albert Dalupang,QRA AUTOSALE AND AUTOWORKS ENTERPRISES CORP.,45408,2000000,1400000,2000000,2000000,0,2000000,2000000,1,0,Yes,Hold,Multiple DPD / HIstory of Repossession,2000000,2000000,0,2000000,2000000,No,,,0,0,0,0,0,0,0,0,0,No,No,45498,3000000,,0,0,0,0,0,45414,45443,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Apr'24,0,IF0014-NB,,Regular Onboarding,,,45771,Expired Credit Line,45407,45408,2000000
IF0015,GCD1880,Marlon Llamas,Albert Dalupang,CARMATRIO AUTO TRADING,45418,2400000,1440000,2400000,2400000,0,2400000,2400000,1,0,Yes,Hold,Expired Credit Line,2400000,2400000,0,2400000,2400000,No,,,0,0,0,0,0,0,0,0,0,No,No,45498,3600000,,0,0,0,0,0,45511,45716,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,May'24,0,IF0015-NB,,Regular Onboarding,,,45771,Expired Credit Line,45407,45418,2400000
IF0016,GCD1518,Marlon Llamas,Albert Dalupang,VERSATILE AUTO SALES,45419,800000,500000,6075000,6075000,0,6075000,6075000,1,0,Yes,Blacklisted,Multiple DPD / HIstory of Repossession,6075000,6075000,0,6075000,6075000,Yes,Blacklisted,Multiple DPD / HIstory of Repossession,6075000,6075000,0,6075000,6075000,0,0,0,0,No,No,45952,9112500,,0,0,0,0,0,45447,45982,0,0,Blacklisted,Manual,46006,,46001,0,0.0175,,May'24,0,IF0016-NB,IF0016-FFC,Regular Onboarding,4,6,46276,Soon Expiry,45415,45419,6075000
IF0017,GCD4054,Rose Batacan,Malou Alfonso,CROSSROAD 77,45439.75278,1000000,1000000,9000000,9000000,16700500,-7700500,-7700500,1,33,Yes,Hold,Maturity DPD,9000000,9000000,16700500,-7700500,-7700500,Yes,Open,,9000000,9000000,0,9000000,9000000,0,0,0,0,No,No,45983,,,0,0,0,0,8,45440,46100,0,16700500,Open,Finsso: Open | Netbank: Expired CL,,,,0,0.0175,Amor Family,May'24,113.6666667,IF0017-NB,IF0017-FFC,Regular Onboarding,4,4,46289,Soon Expiry,45436.75069,45439.75278,-7700500
IF0018,GCD100,Marlon Llamas,Albert Dalupang,LUCKY 323 CAR TRADING,45441,800000,800000,1200000,1200000,452500,747500,747500,1,1,Yes,Hold,Renewal 1 DPD,1200000,1200000,452500,747500,747500,Yes,Open,,1200000,1200000,0,1200000,1200000,25.44583333,0.3770833333,0,0,No,No,45898,1800000,,0,0,0,0,1,45442,46218.55417,0,452500,Open,Finsso: Open | Netbank: Expired CL,,,,0,0.0175,,May'24,25.44583333,IF0018-NB,IF0018-FFC,Regular Onboarding,1,1,46279,Soon Expiry,45441,45441,747500
IF0019,GCD4055,Marlon Llamas,Albert Dalupang,KAYKEES TRADING,45436,600000,400000,600000,400000,0,600000,400000,0,0,Yes,Hold,Expired Credit Line,600000,400000,0,600000,400000,No,,,0,0,0,0,0,0,0,0,0,No,No,,600000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,May'24,0,IF0019-NB,,Regular Onboarding,,,45779,Expired Credit Line,45415,45436,600000
IF0020,GCD2235,Elvira Ladea,Marah Luriely A. Villaruz,PARE KOTSE CAR TRADING,45441,600000,600000,1350000,1350000,0,1350000,1350000,1,0,Yes,Hold,Expired Credit Line,1350000,1350000,0,1350000,1350000,No,,,0,0,0,0,0,0,0,0,0,No,No,45702,2025000,,0,0,0,0,0,45443,45533,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,May'24,0,IF0020-NB,,Regular Onboarding,2,2,45974,Expired Credit Line,45440,45441,1350000
IF0021,GCD2286,Rose Batacan,Malou Alfonso,ARRONDAVIS AUTO TRADING,45446.83194,800000,500000,9112500,9112500,5081000,4031500,4031500,1,10,Yes,Blacklisted,Multiple DPD / HIstory of Repossession,6075000,6075000,1180000,4895000,4895000,Yes,Blacklisted,Multiple DPD / HIstory of Repossession,9112500,9112500,3901000,5211500,5211500,0,0,0,0,No,No,45930,,,0,0,0,0,0,45467,45982,0,1180000,Blacklisted,15 DPD,46000,,46000,0,0.0175,,Jun'24,0,IF0021-NB,IF0021-FFC,Regular Onboarding,6,6,46287,Soon Expiry,45440.62847,45446.83194,4895000
IF0022,GCD4060,Rhoyland Alagon,Marah Luriely A. Villaruz,CARR TIANGGE 2019 AUTO TRADING,45470.71458,300000,300000,300000,300000,0,300000,300000,0,0,Yes,Hold,Expired Credit Line,300000,300000,0,300000,300000,No,,,0,0,0,0,0,0,0,0,0,No,No,,300000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0022-NB,,Regular Onboarding,,,45811,Expired Credit Line,45470.60833,45470.71458,300000
IF0023,GCD1900,Zhesa Resurrecion,Albert Dalupang,ZABLAN AUTO EXCHANGE SERVICES,45462.65972,750000,500000,750000,500000,0,750000,500000,1,0,Yes,Hold,Expired Credit Line,750000,500000,0,750000,500000,No,,,0,0,0,0,0,0,0,0,0,No,No,,750000,,0,0,0,0,0,45701,45786,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0023-NB,,Regular Onboarding,,,45817,Expired Credit Line,45453.61528,45462.65972,750000
IF0024,GCD2769,Zhesa Resurrecion,Albert Dalupang,CAZA NUEVE TRADING,45464.83403,300000,300000,300000,300000,0,300000,300000,0,0,Yes,Hold,Expired Credit Line,300000,300000,0,300000,300000,No,,,0,0,0,0,0,0,0,0,0,No,No,,300000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0024-NB,,Regular Onboarding,,,45828,Expired Credit Line,45464.76319,45464.83403,300000
IF0025,GCD4056,Marlon Llamas,Albert Dalupang,823ERIC CAR TRADING,45464.83472,750000,500000,750000,500000,0,750000,500000,0,0,Yes,Hold,Expired Credit Line,750000,500000,0,750000,500000,No,,,0,0,0,0,0,0,0,0,0,No,No,,750000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0025-NB,,Regular Onboarding,,,45828,Expired Credit Line,45464.74931,45464.83472,750000
IF0026,GCD2030,Rhoyland Alagon,Marah Luriely A. Villaruz,JB-MAUI AUTO TRADING,45465.70694,300000,300000,300000,300000,0,300000,300000,0,0,Yes,Hold,Expired Credit Line,300000,300000,0,300000,300000,No,,,0,0,0,0,0,0,0,0,0,No,No,,300000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0026-NB,,Regular Onboarding,,,45828,Expired Credit Line,45464.75972,45465.70694,300000
