,Dealer ID,Dealer Name,Assigned SM,Assigned SM,#DB Cancelled,#DB Closed,#DB Open,#DB Overdue,AUM,Total Outstanding Principal,Open Principal,Overdue Principal,Avg Loan Age,Avg Repayment Tenure,Avg DPD Age,Earliest Overdue Date,Status,Reason,Date of Blacklisting,Date of Hold,Mulitple Failure Date,# Of Inspections,# Inspections Passed,# Inspections Failed,Concentration,Max Open DPD,Min Open DPD,Latest Insection Date,Open Total Inspections,Open Passed Inspections,Open Failed Inspections,Open Confirmed Sold Units,Multiple Failures,Blacklisted Date,Remarks,Reassessed,Blacklist Stamp
,IF0020,PARE KOTSE CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,4,0,0,0,0,0,0,28,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45974,,0,0,0,0,0,0,,0,0,0,0,No
,IF0021,ARRONDAVIS AUTO TRADING,Malou Alfonso,Rose Batacan,0,65,0,8,3740700,3740700,0,3740700,80,,113.4285714,46000,Blacklisted,15 DPD,46000,,,117,49,68,0.01288286206,274,233,45972,3,2,1,2,No,46006,Emailed Endorsement,,46190.65122
,IF0022,CARR TIANGGE 2019 AUTO TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45811,,0,0,0,0,0,0,,0,0,0,0,No
,IF0023,ZABLAN AUTO EXCHANGE SERVICES,Albert Dalupang,Zhesa Resurrecion,0,2,0,0,0,0,0,0,54.5,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45817,,4,4,0,0,0,0,,0,0,0,0,No
,IF0024,CAZA NUEVE TRADING,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45828,,0,0,0,0,0,0,,0,0,0,0,No
,IF0025,823ERIC CAR TRADING,Albert Dalupang,Marlon Llamas,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45828,,0,0,0,0,0,0,,0,0,0,0,No
,IF0026,JB-MAUI AUTO TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45828,,0,0,0,0,0,0,,0,0,0,0,No
,IF0027,KEER GARAGE1 VEHICLE MAINTENANCE SERVICES,Marah Luriely A. Villaruz,Rhoyland Alagon,0,11,0,0,0,0,0,0,74.81818182,,1,,Open,Finsso: Open | Netbank: Expired CL,,46226,,11,9,2,0,0,0,,0,0,0,0,No
,IF0028,RAPHAEL ONLINE SHOP,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45751,,0,0,0,0,0,0,,0,0,0,0,No
,IF0029,PMB CAR EXCHANGE,Malou Alfonso,Myrnalyn Bankingkito,3,163,4,5,3943929.07,3943929.07,1218089.07,2725840,71.98255814,,19.27334337,46167,Blacklisted,15 DPD,46167,,,302,175,127,0.01358277707,107,82,46262,25,14,11,26,Yes,,,45627.90556,46190.65122
